"Round","Home_bin","A.b.BB","A.b.K","A.b.AVG","A.b.ISO","A.b.HR","A.b.BsR","A.s.K9","A.s.BB9","A.s.HR9","A.s.LOB","A.s.IP","A.r.K9","A.r.BB9","A.r.HR9","A.r.LOB","A.r.IP","A.r.SV","result"
1,0,-1.48297532334063,-0.827149021681895,0.09877628272448,0.0657953331905957,0.365813608007267,1.11269875945257,-2.61772528461906,2.48747332331949,-1.01394743014979,-0.157296611733629,-3.44161577145439,-1.14595868221991,-0.834343039449721,-0.505535514679781,1.85343769851697,3.57170207092522,0.228649320988413,"win"
3,1,-2.47162553890104,-1.59067119554211,1.58042052359168,-1.64488332976489,-1.68274259683343,1.09021999663534,-0.034144242842858,-0.748264333031065,1.70770093498913,0.511213988134286,0.0751338654331599,-0.049112514952282,0.85374636594855,1.51660654403935,0.71048445109818,0.281910240975069,1.25757126543627,"win"
2,0,-0.29659506466813,-3.11771554326253,0.9877628272448,-0.986929997858935,-0.548720412010901,2.03432803495873,-0.284535357023811,0.910051215848592,-0.587022196402513,1.29769704680242,2.10859557828544,0.098225029904562,0.95076299844271,-0.597451062803376,0.772265707715409,-2.00861046694738,0.80027262345944,"win"
1,0,-2.66935558201312,-3.626730325836,0.69143397907136,-1.97385999571787,-2.5972766168516,1.51731649016259,-1.69583072786191,1.07183809866612,0.960581775931384,1.49431781146945,-0.41202442334313,1.04773365231534,1.78510603789243,0.505535514679777,2.31679712314622,0.430416528631579,0.1143246604942,"win"
1,0,0.519442959073369,-0.0597104679072802,3.01541569054884,1.99853895886356,1.82923031328139,-0.193516027972735,0.361247011657257,-0.120373488183988,0.38270246812268,-1.45811957275962,-1.09940332115907,1.48921258961541,-0.907284918834468,0.107741191792961,-2.86467079570727,1.65019608794121,-1.74982367168871,"win"
1,0,-0.51944295907337,2.4481291841985,-2.15386835039203,-1.74872158900562,-1.85873402801173,-2.15144289922629,3.3750792231978,0.822552169257244,-0.33486465960734,1.24473622064845,0.878774763511495,1.31401110848418,0.932487277690978,0.484835363068325,0.030802911781797,-0.948156676445449,-2.18727958961089,"win"
2,0,0.311665775444023,-1.73160356931113,0.60308313810977,-0.0999269479431785,-0.442555720955175,1.38876208309845,-1.44498804662902,-1.38429511411585,-0.0956756170306698,-0.426766704222326,-0.953564105086942,-2.66556539149648,-0.453642459417231,-1.34676489741201,-0.523649500290572,0.806941852294,0,"win"
1,0,-1.35055169359076,0,0.172309468031363,-0.299780843829535,-0.678585438797935,1.26354582970433,1.18695446687385,-0.762365425165251,-0.669729319214678,-0.817969516426127,0.559050328276464,-0.087600740565612,1.10890378968657,0.59257655486129,-1.10890482414475,-0.427679181715817,-1.02073047515175,"win"
2,1,1.14277450996141,1.07478842233105,-1.55078521228226,-0.99926947943178,-0.23602971784276,-0.432565238997879,0.288997609325806,-1.66516658654516,0,0.675713948352018,1.99687542006443,-1.11378084433421,-0.378035382847698,-0.86192953434369,1.23211647127195,-2.19891654750114,1.8956423109961,"win"
1,1,2.59721479536685,0,-0.516928404094089,1.3989772712045,2.21277860477588,-0.239049211025144,1.44498804662903,-0.12037348818399,-1.6743232980367,0.213383352111161,1.7164153891565,-0.688291533015524,-0.327630665134672,-0.538705958964806,-0.831678618108561,-1.83579271396884,0.583274557229565,"win"
